2023151, 01_15_16_20_25_27, 05
2024001, 03_07_16_26_27_32, 16
2024002, 04_09_10_17_19_20, 09
2024003, 01_05_08_13_32_33, 03
2024004, 09_13_17_18_21_27, 04
2024005, 05_06_20_23_25_32, 03
2024006, 07_18_20_21_26_32, 05
2024007, 04_05_06_07_20_22, 15
2024008, 08_20_21_23_27_30, 13
2024009, 01_04_07_10_17_23, 14
2024010, 11_16_20_21_23_24, 04
2024011, 08_12_16_20_27_31, 06
2024012, 01_03_07_18_22_28, 15
2024013, 01_07_10_14_21_25, 07
2024014, 01_02_10_22_24_25, 13
2024015, 03_08_17_18_20_30, 15
2024016, 07_12_20_24_32_33, 04
2024017, 04_17_19_20_25_32, 04
2024018, 06_15_17_24_28_29, 16
2024019, 05_11_12_16_17_20, 08
2024020, 03_08_12_14_17_33, 08
2024021, 04_06_16_17_23_24, 11
2024022, 02_09_11_14_18_26, 06
2024023, 01_10_22_25_28_32, 10
2024024, 03_07_21_24_26_30, 10
2024025, 08_15_21_22_25_33, 13
2024026, 04_07_18_19_20_25, 06
2024027, 02_06_13_27_28_32, 13
2024028, 03_07_08_11_18_19, 05
2024029, 12_18_23_25_28_33, 04
2024030, 01_08_22_25_29_33, 10
2024031, 09_10_13_25_30_32, 02
2024032, 01_03_04_11_12_21, 16
2024033, 06_10_11_18_20_32, 05
2024034, 02_09_12_19_21_31, 04
2024035, 05_07_14_17_22_32, 06
2024036, 02_08_09_12_21_31, 02
2024037, 01_04_05_06_12_14, 13
2024038, 08_10_18_23_27_31, 02
2024039, 02_06_12_29_30_31, 10
2024040, 11_14_18_19_23_26, 02
2024041, 02_09_12_22_25_33, 16
2024042, 02_04_05_14_26_32, 14
2024043, 04_06_07_14_15_24, 08
2024044, 02_06_17_25_32_33, 06
2024045, 02_08_19_23_24_26, 03
2024046, 02_06_10_11_17_29, 15
2024047, 07_08_21_26_29_30, 15
2024048, 02_09_15_19_26_28, 02
2024049, 12_15_17_23_26_32, 11
